OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/07/2025,01:00,21649.25,14997.56,9892.69,13368.44,59907.95,N
01/07/2025,02:00,21469.77,14923.50,9690.82,13249.84,59333.93,N
01/07/2025,03:00,21420.37,14917.18,9692.22,13118.91,59148.69,N
01/07/2025,04:00,21736.69,14978.62,9738.86,13164.97,59619.14,N
01/07/2025,05:00,22463.67,15408.15,9786.59,13460.56,61118.97,N
01/07/2025,06:00,23670.81,16220.10,9815.24,14077.38,63783.53,N
01/07/2025,07:00,25184.24,17376.95,10096.08,14853.19,67510.46,N
01/07/2025,08:00,25868.93,17878.42,10073.89,15120.55,68941.79,N
01/07/2025,09:00,25746.16,17404.13,9976.26,14856.11,67982.67,N
01/07/2025,10:00,25122.99,16614.78,10011.12,14592.35,66341.24,N
01/07/2025,11:00,23733.74,15862.03,9912.39,14166.30,63674.46,N
01/07/2025,12:00,22494.31,15077.24,9747.94,13699.14,61018.63,N
01/07/2025,13:00,21325.55,14513.38,9848.17,13283.28,58970.37,N
01/07/2025,14:00,20700.46,14189.88,9900.23,13253.22,58043.79,N
01/07/2025,15:00,20286.90,14158.36,9753.73,13088.34,57287.33,N
01/07/2025,16:00,19899.56,14041.90,9513.23,12658.71,56113.40,N
01/07/2025,17:00,20256.56,14211.54,9419.79,12607.46,56495.35,N
01/07/2025,18:00,21581.79,15108.70,9609.87,13172.84,59473.20,N
01/07/2025,19:00,23029.35,15987.76,9920.26,13678.41,62615.78,N
01/07/2025,20:00,23466.07,16243.20,10001.61,13740.44,63451.32,N
01/07/2025,21:00,23495.99,16224.05,10105.39,13649.31,63474.74,N
01/07/2025,22:00,23046.95,16110.38,10097.04,13364.61,62618.99,N
01/07/2025,23:00,22288.05,15459.66,9946.39,12902.05,60596.15,N
01/07/2025,24:00,21658.86,14960.72,9927.68,12557.18,59104.44,N
