OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/06/2025,01:00,22231.03,12181.33,9855.65,11316.66,55584.66,N
01/06/2025,02:00,22209.61,12180.60,9853.03,11367.85,55611.08,N
01/06/2025,03:00,22141.07,12304.85,9873.85,11513.82,55833.60,N
01/06/2025,04:00,22506.12,12561.50,9864.47,11767.20,56699.29,N
01/06/2025,05:00,23278.47,13143.30,9863.68,12230.05,58515.51,N
01/06/2025,06:00,24479.49,14083.20,9771.56,12933.89,61268.14,N
01/06/2025,07:00,26000.81,15408.65,9980.79,13840.37,65230.62,N
01/06/2025,08:00,26902.91,16266.31,10192.89,14463.29,67825.40,N
01/06/2025,09:00,26765.49,16360.73,10221.09,14732.57,68079.88,N
01/06/2025,10:00,26136.06,16027.11,10211.65,14812.99,67187.82,N
01/06/2025,11:00,24862.94,15495.24,9976.90,14755.76,65090.84,N
01/06/2025,12:00,23800.75,14974.74,10059.93,14297.07,63132.49,N
01/06/2025,13:00,22595.25,14235.58,9884.60,13940.77,60656.20,N
01/06/2025,14:00,21787.78,13825.27,9824.49,13649.36,59086.91,N
01/06/2025,15:00,20893.05,13302.47,9678.07,13532.01,57405.60,N
01/06/2025,16:00,20389.09,13049.43,9511.22,13365.17,56314.90,N
01/06/2025,17:00,20582.51,13368.56,9550.62,13235.59,56737.28,N
01/06/2025,18:00,21873.52,14341.40,9215.50,13765.95,59196.37,N
01/06/2025,19:00,23323.51,15404.66,9483.92,14391.08,62603.16,N
01/06/2025,20:00,23736.13,15809.94,9855.11,14466.00,63867.18,N
01/06/2025,21:00,23827.11,15975.00,9933.00,14438.00,64173.12,N
01/06/2025,22:00,23582.67,15891.00,9911.03,14247.89,63632.59,N
01/06/2025,23:00,22829.17,15506.81,9903.77,13793.04,62032.79,N
01/06/2025,24:00,22475.88,15294.50,9811.31,13554.65,61136.35,N
