OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/02/2025,01:00,15727.43,10810.98,9117.09,9924.54,45580.05,N
01/02/2025,02:00,15830.24,10559.83,9269.88,9728.03,45387.98,N
01/02/2025,03:00,15945.10,10373.30,9352.61,9731.25,45402.27,N
01/02/2025,04:00,16142.44,10228.23,9295.15,9705.03,45370.85,N
01/02/2025,05:00,16540.60,10275.37,9208.99,9809.11,45834.07,N
01/02/2025,06:00,17389.30,10556.47,9264.07,10185.77,47395.62,N
01/02/2025,07:00,18598.39,11017.23,9330.39,10688.07,49634.07,N
01/02/2025,08:00,19484.09,11551.09,9430.76,11061.52,51527.47,N
01/02/2025,09:00,19456.48,11821.11,9585.65,11371.35,52234.59,N
01/02/2025,10:00,18768.08,11943.70,9516.65,11573.79,51802.22,N
01/02/2025,11:00,17665.12,12100.97,9682.26,11765.92,51214.27,N
01/02/2025,12:00,16681.08,11903.07,9394.59,11783.71,49762.45,N
01/02/2025,13:00,16018.81,11790.72,9174.69,11755.21,48739.43,N
01/02/2025,14:00,15588.02,11886.75,9104.40,11821.04,48400.21,N
01/02/2025,15:00,15286.50,11992.77,9214.67,11890.55,48384.50,N
01/02/2025,16:00,15304.68,12104.56,9119.62,11712.61,48241.47,N
01/02/2025,17:00,15154.21,12074.17,9044.19,11555.73,47828.30,N
01/02/2025,18:00,15868.11,12079.14,8978.41,11795.04,48720.70,N
01/02/2025,19:00,16554.37,12379.28,8889.07,11878.20,49700.92,N
01/02/2025,20:00,16575.21,12262.58,8780.95,11759.23,49377.96,N
01/02/2025,21:00,16599.26,12047.50,9106.79,11539.49,49293.04,N
01/02/2025,22:00,16232.81,11768.96,9228.16,11250.85,48480.78,N
01/02/2025,23:00,15696.88,11375.30,9276.91,10823.07,47172.15,N
01/02/2025,24:00,15378.87,10827.00,9314.83,10490.84,46011.54,N
