OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/05/2025,01:00,12700.03,10465.44,8696.83,10291.77,42154.08,N
01/05/2025,02:00,12215.50,10114.29,8755.84,10055.48,41141.11,N
01/05/2025,03:00,11859.50,9798.78,8754.73,9878.01,40291.02,N
01/05/2025,04:00,11712.21,9557.95,8725.96,9746.07,39742.19,N
01/05/2025,05:00,11615.25,9294.71,8614.43,9697.25,39221.63,N
01/05/2025,06:00,11647.02,9371.88,8658.36,9781.32,39458.58,N
01/05/2025,07:00,12067.50,9675.78,8791.65,9959.06,40493.99,N
01/05/2025,08:00,12575.69,9885.13,8872.94,10067.66,41401.42,N
01/05/2025,09:00,13420.00,10237.84,9079.51,10374.20,43111.55,N
01/05/2025,10:00,14290.22,10815.70,8969.40,10862.63,44937.95,N
01/05/2025,11:00,14693.34,11030.08,9106.73,11315.48,46145.63,N
01/05/2025,12:00,15157.57,11169.68,9021.77,11590.74,46939.76,N
01/05/2025,13:00,15640.54,11550.78,8994.62,11825.25,48011.20,N
01/05/2025,14:00,15837.80,11766.68,9012.70,12032.59,48649.76,N
01/05/2025,15:00,16162.27,11850.17,9083.97,11980.96,49077.38,N
01/05/2025,16:00,16559.04,11975.45,9175.03,11720.00,49429.53,N
01/05/2025,17:00,17547.94,12066.65,9159.46,11347.42,50121.46,N
01/05/2025,18:00,19609.94,12266.58,9283.85,11241.94,52402.32,N
01/05/2025,19:00,21551.03,12722.39,9562.59,11468.08,55304.09,N
01/05/2025,20:00,22500.24,12986.37,9650.64,11417.59,56554.84,N
01/05/2025,21:00,23161.17,12783.61,9792.69,11450.66,57188.13,N
01/05/2025,22:00,23368.83,12743.57,9821.23,11499.57,57433.20,N
01/05/2025,23:00,22942.92,12484.44,9797.86,11421.09,56646.30,N
01/05/2025,24:00,22527.21,12359.08,9789.99,11340.77,56017.06,N
